model,oos_r2,rmse,mae,ic,ic_ir,xs_oos_r2,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,window,feature_set,scheme,horizon,train_start,train_end,test_start,test_end,n_train,n_test
OLS,0.0009138090859006,0.0180037235565751,0.0118876985345196,0.0161533899508791,1.1593425031316071,0.0009216364945566,0.5135862254506323,0.4841628959276018,0.2404494382022471,0.3213213213213213,0.4841628959276018,884,1.5617481091921532,-0.0709079437011959,6.728782761139596,0.5555555555555556,1.0478051223108638,217,10672.87827611396,63,10,A,expanding,1,2016-01-04,2020-07-06,2020-07-07,2020-10-02,66847,3717
OLS,0.0001071917522276,0.0175262460683161,0.0114710447811086,0.0148741366586837,0.8181484528620151,0.00012197481736,0.5181598062953995,0.4750265674814027,0.2563073394495412,0.3329608938547486,0.4750265674814027,941,1.762940644112793,-0.0243127784268802,3.782375698027818,0.5873015873015873,0.9301185127408408,216,10378.237569802784,63,11,A,expanding,1,2016-01-04,2020-10-02,2020-10-05,2021-01-04,70564,3717
OLS,-0.0009469816158618,0.016773268302208,0.0119099675208494,-0.0570569323320034,0.2003314123543401,-0.0009418984704987,0.4993274145816518,0.4669464847848898,0.2474972191323693,0.3235187204652853,0.4669464847848898,953,-2.1965062373404645,-0.0993240167438558,-6.716290733389119,0.5396825396825397,0.5736331641649902,243,9328.370926661088,63,12,A,expanding,1,2016-01-04,2021-01-04,2021-01-05,2021-04-06,74281,3717
OLS,-0.000797455916135,0.0126149964742247,0.0088119273521872,-0.0395026010710406,-0.491986467008071,-0.0007831714129116,0.4908749329039184,0.4788540245566166,0.3825613079019073,0.4253256588912451,0.4788540245566166,1466,-0.2871361463931039,-0.0450914818820643,-0.5162627015348753,0.5555555555555556,0.7601258143495767,206,9948.373729846511,63,13,A,expanding,1,2016-01-04,2021-04-06,2021-04-07,2021-07-13,77998,3726
OLS,6.686991523507935e-06,0.0118908093298666,0.008497925085053,-0.0052697553227199,0.265068030017412,2.7096681024851858e-05,0.4965608465608465,0.4739803094233474,0.3685073810825587,0.4146416487234697,0.4739803094233474,1422,-0.0283653292048932,-0.028910230418926,-0.0844567742350754,0.5079365079365079,0.9641935998795076,300,9991.554322576492,63,14,A,expanding,1,2016-01-04,2021-07-13,2021-07-14,2021-10-11,81723,3780
OLS,-0.001202775416244,0.0162085635999228,0.0108672841739099,-0.0102546807290183,0.4486170595017816,-0.0011936613969925,0.4957671957671957,0.4671717171717172,0.3036105032822757,0.3680371352785146,0.4671717171717172,1188,-1.554374373336379,-0.0868269871225889,-4.73487197137662,0.5079365079365079,0.7286484887891036,234,9526.51280286234,63,15,A,expanding,1,2016-01-04,2021-10-11,2021-10-12,2022-01-10,85503,3780
OLS,-0.00246480790531,0.0180190763493261,0.0126489671049964,-0.0585492566235089,0.1246185287093408,-0.0024527521120532,0.4790884718498659,0.4603174603174603,0.3313384113166485,0.3853211009174312,0.4603174603174603,1323,-1.9517267430084364,-0.0641309392633329,-6.3485742219822505,0.4126984126984127,1.040441595564895,266,9365.142577801776,63,16,A,expanding,1,2016-01-04,2022-01-10,2022-01-11,2022-04-11,89283,3730
OLS,-0.0013966919063526,0.0187647228444266,0.012815985528322,-0.0157662307471223,0.4737248484388993,-0.001380826293466,0.4810160427807486,0.4836065573770491,0.342119135477069,0.4007409694350108,0.4836065573770491,1342,-2.228227799457103,-0.118169161145993,-8.521892442949175,0.4603174603174603,0.807726953206219,365,9147.810755705084,63,17,A,expanding,1,2016-01-04,2022-04-11,2022-04-12,2022-07-13,93014,3740
OLS,-0.000640852322594,0.0150818368427187,0.0102962303811444,-0.0023899135306151,0.3931007043342436,-0.0006210760829798,0.4984126984126984,0.4953000723065799,0.363781200212427,0.419473361910594,0.4953000723065799,1383,-1.5471649514307677,-0.0740591715509709,-3.5292455144294577,0.4126984126984127,1.0906529920250452,310,9647.075448557054,63,18,A,expanding,1,2016-01-04,2022-07-13,2022-07-14,2022-10-11,96753,3780
OLS,-0.0009603321595581,0.016712666165443,0.011028910812149,-0.025899537039093,0.1477424269656589,-0.0009489549167214,0.4907407407407407,0.4917606244579358,0.2974816369359916,0.3707093821510298,0.4917606244579358,1153,-1.2425262863606563,-0.0917322385311508,-4.577194104666216,0.4444444444444444,1.001619303622032,284,9542.28058953338,63,19,A,expanding,1,2016-01-04,2022-10-11,2022-10-12,2023-01-11,100533,3780
