date,portfolio_return,gross_return,spread_cost,turnover,n_long,cumulative_return
2023-04-12,0.022329235089197756,0.022404235089197755,7.5e-05,1.0,4,1.0223292350891977
2023-04-13,-0.02239117225334048,-0.022316172253340483,7.5e-05,1.0,2,0.9994380850866896
2023-04-14,-7.5e-05,0.0,7.5e-05,1.0,0,0.9993631272303081
2023-04-17,0.0,0.0,0.0,0.0,0,0.9993631272303081
2023-04-18,0.0,0.0,0.0,0.0,0,0.9993631272303081
2023-04-19,0.0,0.0,0.0,0.0,0,0.9993631272303081
2023-04-20,0.0,0.0,0.0,0.0,0,0.9993631272303081
2023-04-21,0.0,0.0,0.0,0.0,0,0.9993631272303081
2023-04-24,0.0,0.0,0.0,0.0,0,0.9993631272303081
2023-04-25,0.0,0.0,0.0,0.0,0,0.9993631272303081
2023-04-26,0.0,0.0,0.0,0.0,0,0.9993631272303081
2023-04-27,0.0006736592512577772,0.0007486592512577772,7.5e-05,1.0,1,1.0000363574463327
2023-04-28,-7.5e-05,0.0,7.5e-05,1.0,0,0.9999613547195242
2023-05-01,0.0,0.0,0.0,0.0,0,0.9999613547195242
2023-05-02,0.0,0.0,0.0,0.0,0,0.9999613547195242
2023-05-03,0.0,0.0,0.0,0.0,0,0.9999613547195242
2023-05-04,0.0,0.0,0.0,0.0,0,0.9999613547195242
2023-05-05,-0.02608187928497791,-0.026006879284977913,7.5e-05,1.0,1,0.9738804833760866
2023-05-08,-7.5e-05,0.0,7.5e-05,1.0,0,0.9738074423398333
2023-05-09,-0.01885120257437229,-0.01877620257437229,7.5e-05,1.0,1,0.9554500009758536
2023-05-10,-0.019179409369826317,-0.019179409369826317,0.0,0.0,1,0.9371250342747368
2023-05-11,-0.017497754910588265,-0.017347754910588264,0.00015,2.0,1,0.9207274501044208
2023-05-12,-7.5e-05,0.0,7.5e-05,1.0,0,0.920658395545663
2023-05-15,0.0,0.0,0.0,0.0,0,0.920658395545663
2023-05-16,0.0,0.0,0.0,0.0,0,0.920658395545663
2023-05-17,0.0,0.0,0.0,0.0,0,0.920658395545663
2023-05-18,0.0,0.0,0.0,0.0,0,0.920658395545663
2023-05-19,0.0,0.0,0.0,0.0,0,0.920658395545663
2023-05-22,0.0,0.0,0.0,0.0,0,0.920658395545663
2023-05-23,0.0,0.0,0.0,0.0,0,0.920658395545663
2023-05-24,0.0,0.0,0.0,0.0,0,0.920658395545663
2023-05-25,-0.01785599127113819,-0.01778099127113819,7.5e-05,1.0,1,0.9042191272710994
2023-05-26,-0.0015568244158157274,-0.0014068244158157274,0.00015,1.9999999999999998,7,0.9028114168565162
2023-05-30,0.01751006079361375,0.017574346507899463,6.428571428571429e-05,0.8571428571428572,4,0.9186196996508424
2023-05-31,0.0164016198692674,0.016497074414721945,9.545454545454546e-05,1.272727272727273,11,0.9336865507689361
2023-06-01,0.022590347280556505,0.022658529098738323,6.818181818181818e-05,0.9090909090909093,11,0.9547788542019913
2023-06-02,0.008466078941214395,0.008534260759396213,6.818181818181817e-05,0.9090909090909092,7,0.9628620873530674
2023-06-05,-7.499999999999998e-05,0.0,7.499999999999998e-05,0.9999999999999998,0,0.962789872696516
2023-06-06,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-07,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-08,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-09,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-12,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-13,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-14,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-15,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-16,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-20,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-21,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-22,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-23,0.0,0.0,0.0,0.0,0,0.962789872696516
2023-06-26,0.02148291378269593,0.02155791378269593,7.500000000000001e-05,0.9999999999999999,6,0.983473404522508
2023-06-27,0.01489807855668752,0.014995137380216931,9.705882352941176e-05,1.2941176470588236,17,0.9981252685614972
2023-06-28,0.024099535508590807,0.024161300214473158,6.176470588235294e-05,0.8235294117647058,10,1.0221796239132168
2023-06-29,0.022154464843273162,0.022214464843273163,5.999999999999999e-05,0.7999999999999997,7,1.0448254664547123
2023-06-30,0.011481839314174638,0.011567553599888925,8.57142857142857e-05,1.1428571428571428,4,1.056821984571903
2023-07-03,-0.013257637980207801,-0.0131826379802078,7.5e-05,1.0,2,1.0428110212909238
2023-07-05,-0.0033225325278937816,-0.0032475325278937817,7.5e-05,1.0,1,1.0393462477522386
2023-07-06,-0.019034430384635925,-0.019034430384635925,0.0,0.0,1,1.019562883953866
2023-07-07,-0.009041598321497441,-0.00889159832149744,0.00015,2.0,1,1.0103444058936477
2023-07-10,0.020452252334356307,0.020602252334356308,0.00015,2.0,1,1.0310082246275898
2023-07-11,0.04049780016541481,0.04059780016541481,9.999999999999999e-05,1.3333333333333335,3,1.072761789677457
2023-07-12,-7.5e-05,0.0,7.5e-05,1.0,0,1.0726813325432312
2023-07-13,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-14,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-17,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-18,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-19,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-20,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-21,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-24,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-25,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-26,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-27,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-28,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-07-31,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-08-01,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-08-02,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-08-03,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-08-04,0.0,0.0,0.0,0.0,0,1.0726813325432312
2023-08-07,-0.002176317106280476,-0.002101317106280476,7.5e-05,1.0,2,1.0703468378096295
2023-08-08,0.011547848574941356,0.011597848574941356,4.9999999999999996e-05,0.6666666666666667,3,1.0827070410153223
2023-08-09,-0.001670503693073988,-0.001570503693073988,9.999999999999999e-05,1.3333333333333333,2,1.0808983749047891
2023-08-10,-0.01663410354629159,-0.01653410354629159,9.999999999999999e-05,1.3333333333333333,3,1.0629185994136046
2023-08-11,-7.5e-05,0.0,7.5e-05,1.0,0,1.0628388805186484
2023-08-14,0.0,0.0,0.0,0.0,0,1.0628388805186484
2023-08-15,0.0,0.0,0.0,0.0,0,1.0628388805186484
2023-08-16,0.0,0.0,0.0,0.0,0,1.0628388805186484
2023-08-17,0.0,0.0,0.0,0.0,0,1.0628388805186484
2023-08-18,0.0990937923669815,0.0991687923669815,7.5e-05,1.0,1,1.1681596158643184
2023-08-21,-0.005361694376915693,-0.005361694376915693,0.0,0.0,1,1.1618963010205987
2023-08-22,-7.5e-05,0.0,7.5e-05,1.0,0,1.1618091587980222
2023-08-23,0.0,0.0,0.0,0.0,0,1.1618091587980222
2023-08-24,0.0,0.0,0.0,0.0,0,1.1618091587980222
2023-08-25,0.0,0.0,0.0,0.0,0,1.1618091587980222
2023-08-28,0.0,0.0,0.0,0.0,0,1.1618091587980222
2023-08-29,0.0,0.0,0.0,0.0,0,1.1618091587980222
2023-08-30,0.0,0.0,0.0,0.0,0,1.1618091587980222
2023-08-31,0.0,0.0,0.0,0.0,0,1.1618091587980222
2023-09-01,0.0,0.0,0.0,0.0,0,1.1618091587980222
2023-09-05,0.0,0.0,0.0,0.0,0,1.1618091587980222
2023-09-06,0.0,0.0,0.0,0.0,0,1.1618091587980222
