model,oos_r2,rmse,mae,ic,ic_ir,xs_oos_r2,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,horizon
TFT_D_1d,-0.03762862021957769,0.01678662284707362,0.01141151302854041,0.0009720802853119674,0.043403848120340566,-0.002281746922840444,0.476905311778291,0.5329750854909624,0.07948998178506375,0.13834643672330713,0.5329750854909624,2047,1.3444540502323603,-0.2638888833701874,77.95119840107687,0.4540682414698163,1.5991236033733345,2273,17795.119840107687,433,1
TFT_D_3d,-0.08447555759379388,0.03011342088919872,0.02153576281039815,0.015364046146922694,0.34083843882779863,-0.012586116144994941,0.4703402938901779,0.5579068872643325,0.10358622660380054,0.17473037295896848,0.5579068872643325,2599,1.0877694490746252,-0.4935124209526363,223.61601465263195,0.5141843971631206,1.5369293496012573,1706,32361.601465263193,431,3
TFT_D_5d,-0.05206664384832527,0.03842782222959999,0.027748402655497387,-0.010172395539381892,-0.025543734635198687,-0.010665511604554423,0.47132867132867134,0.534867087853141,0.31614176002254635,0.3973961562306262,0.534867087853141,8389,1.597933488900966,-0.3695670978079228,913.9011324178502,0.5802469135802469,1.3927863207757285,2646,101390.11324178503,429,5
