N,se_emp,se_pred,ratio,dt_emp,dt_pred
20,0.009641964911051699,0.011982333854720889,0.8046817112555152,0.028925894733155096,0.03594700156416267
30,0.007984841481459282,0.009783534623914148,0.8161509912727989,0.023954524444377845,0.029350603871742445
40,0.007856375108469548,0.008472789523114284,0.9272477602608775,0.023569125325408644,0.025418368569342854
50,0.007200423510240672,0.007578293333092626,0.9501378732330291,0.021601270530722014,0.02273487999927788
60,0.006918003676543072,0.006918003676543072,1.0,0.02075401102962922,0.02075401102962922
