date,portfolio_return,gross_return,spread_cost,turnover,n_long,cumulative_return
2023-04-12,0.037618001244962215,0.037743001244962215,0.000125,1.0,2,1.0376180012449623
2023-04-13,-0.021963000044226647,-0.021838000044226646,0.000125,1.0,1,1.0148287970377288
2023-04-14,-0.01745299994945526,-0.01745299994945526,0.0,0.0,1,0.9971169900943235
2023-04-17,-0.008409000135492534,-0.008159000135492533,0.00025,2.0,2,0.9887322331895185
2023-04-18,-0.000125,0.0,0.000125,1.0,0,0.9886086416603698
2023-04-19,0.0,0.0,0.0,0.0,0,0.9886086416603698
2023-04-20,0.0,0.0,0.0,0.0,0,0.9886086416603698
2023-04-21,-0.026723000433295965,-0.026598000433295965,0.000125,1.0,2,0.9621900525009195
2023-04-24,-0.0063535000081174076,-0.0063535000081174076,0.0,0.0,2,0.9560767779945444
2023-04-25,-0.043194999665021896,-0.043069999665021896,0.000125,1.0,1,0.9147790418893348
2023-04-26,0.04188600182533264,0.04188600182533264,0.0,0.0,1,0.9530954785076875
2023-04-27,0.02571900002658367,0.02571900002658367,0.0,0.0,1,0.9776081411447635
2023-04-28,-0.015092999674379826,-0.015092999674379826,0.0,0.0,1,0.9628531017887945
2023-05-01,-0.0014510000166483223,-0.0012635000166483223,0.0001875,1.5,4,0.961456001922069
2023-05-02,-0.000125,0.0,0.000125,1.0,0,0.9613358199218287
2023-05-03,0.0,0.0,0.0,0.0,0,0.9613358199218287
2023-05-04,0.0,0.0,0.0,0.0,0,0.9613358199218287
2023-05-05,0.021954000482335687,0.022079000482335687,0.000125,1.0,4,0.9824409869760792
2023-05-08,-0.00595990910539827,-0.005800818196307361,0.0001590909090909091,1.2727272727272727,11,0.976585727992284
2023-05-09,-0.0032945452346043154,-0.0030899997800588608,0.00020454545454545457,1.6363636363636362,2,0.9733683221359445
2023-05-10,-0.00721800022572279,-0.00709300022572279,0.000125,1.0,1,0.9663425493670558
2023-05-11,-0.000125,0.0,0.000125,1.0,0,0.9662217565483848
2023-05-12,0.019837499849498272,0.019962499849498272,0.000125,1.0,2,0.9853891804984954
2023-05-15,-5.933307871843442e-05,0.00010733358794823224,0.00016666666666666666,1.3333333333333333,6,0.9853307143246807
2023-05-16,0.019466666306058564,0.0196749996393919,0.00020833333333333337,1.666666666666667,1,1.0045118185415496
2023-05-17,-0.000125,0.0,0.000125,1.0,0,1.004386254564232
2023-05-18,0.0,0.0,0.0,0.0,0,1.004386254564232
2023-05-19,0.0,0.0,0.0,0.0,0,1.004386254564232
2023-05-22,0.0,0.0,0.0,0.0,0,1.004386254564232
2023-05-23,0.0,0.0,0.0,0.0,0,1.004386254564232
2023-05-24,0.0,0.0,0.0,0.0,0,1.004386254564232
2023-05-25,0.0,0.0,0.0,0.0,0,1.004386254564232
2023-05-26,-0.009333999574184418,-0.009208999574184418,0.000125,1.0,1,0.9950113136918126
2023-05-30,0.004904250063002109,0.0050917500630021095,0.0001875,1.5,4,0.9998910979896735
2023-05-31,-0.0001875,0.0,0.0001875,1.5,1,0.9997036184088004
2023-06-01,-0.000125,0.0,0.000125,1.0,0,0.9995786554564993
2023-06-02,-0.005801000087987632,-0.0056760000879876316,0.000125,1.0,2,0.9937800995882455
2023-06-05,0.012662166601667801,0.012828833268334469,0.0001666666666666667,1.3333333333333335,6,1.0063635087746539
2023-06-06,-0.000125,0.0,0.000125,0.9999999999999999,0,1.006237713336057
2023-06-07,0.0,0.0,0.0,0.0,0,1.006237713336057
2023-06-08,0.0,0.0,0.0,0.0,0,1.006237713336057
2023-06-09,0.0,0.0,0.0,0.0,0,1.006237713336057
2023-06-12,0.0,0.0,0.0,0.0,0,1.006237713336057
2023-06-13,0.0,0.0,0.0,0.0,0,1.006237713336057
2023-06-14,0.0,0.0,0.0,0.0,0,1.006237713336057
2023-06-15,0.018006999298930168,0.018131999298930168,0.000125,1.0,1,1.0243570351346565
2023-06-16,0.05338900163769722,0.05338900163769722,0.0,0.0,1,1.0790464345610473
2023-06-20,-0.000125,0.0,0.000125,1.0,0,1.078911553756727
2023-06-21,0.019724000498652458,0.019849000498652458,0.000125,1.0,1,1.1001920057810268
2023-06-22,-0.000125,0.0,0.000125,1.0,0,1.1000544817803042
