date,portfolio_return,long_leg_return,short_leg_return,gross_spread_return,spread_cost,short_fee_cost,turnover,n_long,n_short,cumulative_return
2023-04-12,-0.02214452888559631,0.018574232337414287,0.04046955487380424,-0.021895322536389955,0.00015000000000000004,9.920634920634919e-05,2.0,6,6,0.9778554711144037
2023-04-13,-0.03725523398917405,-0.022765796670379732,0.01429023096958796,-0.037056027639967695,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,0.9414252367304425
2023-04-14,-0.0032927672375296594,-0.014292801924360292,-0.011149241036036983,-0.003143560888323309,4.9999999999999996e-05,9.920634920634919e-05,0.6666666666666666,6,6,0.9383253425543528
2023-04-17,-0.011790445964456728,-0.02859861782053486,-0.016982378205284476,-0.011616239615250382,7.500000000000001e-05,9.920634920634919e-05,0.9999999999999999,6,6,0.9272620683058853
2023-04-18,0.0027396710187669766,-0.03652309377988179,-0.03943697114785512,0.0029138773679733276,7.500000000000001e-05,9.920634920634919e-05,0.9999999999999999,6,6,0.9298024613212249
2023-04-19,0.012304740323794503,-0.028149401924262442,-0.04060334859726329,0.01245394667300085,4.9999999999999996e-05,9.920634920634919e-05,0.6666666666666666,6,6,0.9412434391602076
2023-04-20,0.0326117057727502,0.009476794162765144,-0.0233091179591914,0.03278591212195654,7.500000000000001e-05,9.920634920634919e-05,0.9999999999999999,6,6,0.9719389932586318
2023-04-21,0.010015047289975107,0.008504766582821805,-0.0017094870563596491,0.010214253639181454,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,0.9816730082390878
2023-04-24,0.031894410656098396,0.02326264294485251,-0.008780974060452232,0.03204361700530474,4.9999999999999996e-05,9.920634920634919e-05,0.6666666666666666,6,6,1.0129828902938727
2023-04-25,0.045382259587059534,0.03992062605296572,-0.0056608398833001665,0.045581465936265886,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,1.058954342778439
2023-04-26,0.008205651378399504,0.021154591813683506,0.012724734086077659,0.008429857727605848,0.00012500000000000003,9.920634920634919e-05,1.6666666666666667,6,6,1.0676437529409208
2023-04-27,-0.029723157816332956,-0.02564400644041598,0.0038799450267106295,-0.029523951467126608,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,1.035910009180636
2023-04-28,-0.03912860957280038,-0.028830371486643948,0.010049031736950079,-0.038879403223594025,0.00015000000000000004,9.920634920634919e-05,2.0,6,6,0.9953762908788507
2023-05-01,-0.00979337284535406,-0.014257573677847782,-0.00466340718170007,-0.009594166496147711,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,0.9856281997408485
2023-05-02,0.004289137334175528,0.0058173326154549905,0.0013289889320731154,0.004488343683381875,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,0.9898556944499732
2023-05-03,0.030276768851762132,0.04136032983660698,0.010834354635638496,0.030525975200968482,0.00015000000000000004,9.920634920634919e-05,2.0,6,6,1.0198253265074357
2023-05-04,0.024579740814663586,0.038512987045881644,0.013784039882011712,0.024728947163869933,4.9999999999999996e-05,9.920634920634919e-05,0.6666666666666666,6,6,1.0448923687092182
2023-05-05,0.008473384561561168,0.00680901575833559,-0.0018635751524319253,0.008672590910767516,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,1.053746143574732
2023-05-08,0.020168684134431302,0.0129509080046167,-0.007391982479020953,0.020342890483637653,7.500000000000001e-05,9.920634920634919e-05,0.9999999999999999,6,6,1.0749988167023659
2023-05-09,0.005991526287717242,0.0011220572050660857,-0.004993675431857507,0.0061157326369235925,2.4999999999999998e-05,9.920634920634919e-05,0.3333333333333333,6,6,1.081439700371903
2023-05-10,0.01983324669107558,0.01658945825571815,-0.00344299478456378,0.02003245304028193,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,1.1028881607309018
2023-05-11,0.0010750032477553865,0.01607039617374539,0.014871186576783657,0.0011992095969617332,2.4999999999999998e-05,9.920634920634919e-05,0.3333333333333333,6,6,1.1040737690855984
2023-05-12,0.019455115868695198,0.046151458906630666,0.026472136688729126,0.01967932221790154,0.00012500000000000003,9.920634920634919e-05,1.6666666666666667,6,6,1.1255536521907459
2023-05-15,0.012949393129675456,0.04848406776242579,0.03533546828354398,0.013148599478881806,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,1.1401288889215058
2023-05-16,-0.0029088852242404005,0.028819512575864792,0.03155419145089885,-0.0027346788750340564,7.500000000000001e-05,9.920634920634919e-05,0.9999999999999999,6,6,1.1368123848427925
2023-05-17,-0.005492672499966998,-0.0029928946557144323,0.002300571495046219,-0.005293466150760651,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,1.1305682467189446
2023-05-18,-0.07722781259139615,-0.037585241720080376,0.03944336452210943,-0.0770286062421898,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,1.0432569340395508
2023-05-19,-0.12322679614221292,-0.035793884036441646,0.08723370575656493,-0.12302758979300657,0.00010000000000000002,9.920634920634919e-05,1.3333333333333333,6,6,0.914699724504709
2023-05-22,-0.08198840208446222,-0.031017745689799387,0.050746450045456484,-0.08176419573525587,0.00012500000000000003,9.920634920634919e-05,1.6666666666666667,6,6,0.8397049557054701
2023-05-23,-0.06200625734709438,-0.0003491269890218973,0.06140792400886614,-0.06175705099788804,0.00015000000000000004,9.920634920634919e-05,2.0,6,6,0.7876379941263663
