model,feature_set,scheme,horizon,n_windows,mean_ic,nw_se,nw_tstat,survives_5pct,survives_hlz_t3
XGBoost,repr_grid,rolling_9m_3m,5,32,0.005332236574174025,0.006763839467568435,0.788344637648672,False,False
XGBoost,candidate_6,rolling_9m_3m,1,32,0.0026142041232360973,0.003744401102484199,0.6981634850768845,False,False
ElasticNet,repr_grid_raw,rolling_9m_3m,5,32,0.0095207934002857,0.013797636691392293,0.6900307359321385,False,False
XGBoost,candidate_6,expanding,3,27,0.005869905271382862,0.008724015226788309,0.6728444550805571,False,False
ElasticNet,repr_svi,rolling_9m_3m,1,32,0.002700721113628942,0.004040167794902485,0.6684675614306083,False,False
XGBoost,repr_svi,rolling_9m_3m,1,32,0.00197671222582235,0.003024105198999505,0.6536519385887519,False,False
XGBoost,A,expanding,5,27,0.00421137788566346,0.006454142973537825,0.6525076842781811,False,False
ElasticNet,D,rolling_9m_3m,3,32,0.005436007356819292,0.008566369194597022,0.6345754231848761,False,False
XGBoost,C,rolling_9m_3m,5,32,0.003772708097424882,0.006012409099345625,0.6274869249724696,False,False
XGBoost,A,rolling_9m_3m,3,32,0.002447655030859897,0.004112207610440085,0.5952167941729846,False,False
XGBoost,repr_bkm,rolling_9m_3m,5,32,0.0036883638956667474,0.0071075691003521695,0.5189346517199522,False,False
ElasticNet,repr_svi,rolling_9m_3m,5,32,0.006640363225295124,0.01400238928044367,0.47423072536408745,False,False
XGBoost,A,rolling_9m_3m,5,32,0.0032427246161859757,0.008522928430268743,0.3804707082450212,False,False
FFNN,A,rolling_9m_3m,3,32,0.0026017223272210574,0.007357784156950246,0.35360133862630927,False,False
FFNN,A,expanding,3,27,0.0024227618231085217,0.008836417368201116,0.27417919753622255,False,False
XGBoost,repr_svi,rolling_9m_3m,3,32,0.0011915654172046718,0.004720756946088195,0.25240982130885803,False,False
OLS,A,rolling_9m_3m,5,32,0.0018130884459652825,0.007626602536132812,0.23773212742834732,False,False
OLS,repr_svi,rolling_9m_3m,5,32,0.0018124303634393358,0.007626711272502892,0.23764245146840893,False,False
ElasticNet,repr_svi,rolling_9m_3m,3,32,0.001328039588709037,0.005650072546233292,0.23504823660970428,False,False
ElasticNet,repr_grid,rolling_9m_3m,3,32,0.0026666797405236254,0.012065859412982983,0.22101034408326123,False,False
FFNN,B,expanding,1,26,0.0012744619918487363,0.006306786243225415,0.20207787971531938,False,False
OLS,C,expanding,3,27,0.0009505949664826491,0.004835123597016387,0.1966019993923699,False,False
OLS,B,expanding,3,27,0.0009505949664826491,0.004835123597016387,0.1966019993923699,False,False
XGBoost,A,rolling_9m_3m,1,32,0.0007233292703954152,0.004609079410664669,0.1569357361736375,False,False
FFNN,A,expanding,5,27,0.0015052656167103167,0.009941361402285194,0.1514144346833931,False,False
FFNN,D,rolling_9m_3m,1,32,0.0006828071708943916,0.005409639286984478,0.12622046215488283,False,False
ElasticNet,repr_bkm,rolling_9m_3m,3,32,0.0005423969070466393,0.006163551205135294,0.08800071403555952,False,False
FFNN,B,rolling_9m_3m,3,32,0.00047267038484763457,0.0063979480462963735,0.07387843437104068,False,False
FFNN,candidate_6,expanding,1,26,0.0002921240483981502,0.004925304715758472,0.05931085795839224,False,False
TFT,A,rolling_9m_3m,1,32,-0.0002453829433304406,0.005258826088358181,-0.04666116338657052,False,False
XGBoost,candidate_6,expanding,1,27,-0.00028553663185278854,0.005866674869828658,-0.04867094873814405,False,False
FFNN,D,expanding,5,27,-0.0005811007833273272,0.01041235018773188,-0.05580880136090662,False,False
XGBoost,repr_grid_raw,rolling_9m_3m,5,32,-0.00044541699240793504,0.006450413204377972,-0.06905247436018909,False,False
TFT,B,expanding,1,27,-0.0005245624466149809,0.006911291951495321,-0.07589933261341782,False,False
