horizon,pooled_ic,pooled_r2,ls_sharpe
1,0.0025317470999631,-0.0004020425786335,0.124401154927589
3,0.0092404787730322,-0.0007503285257377,0.2164557577913454
5,0.013547431086955,-0.0029160071533347,0.4016503386063787
