model,feature_set,scheme,horizon,window,ic,n_test
ElasticNet,A,rolling_9m_3m,1,7,0.26787762085071315,3717
ElasticNet,A,rolling_9m_3m,1,8,0.318080605583199,3717
ElasticNet,A,rolling_9m_3m,1,9,0.20841654089103956,3717
ElasticNet,A,rolling_9m_3m,1,10,0.25945791811620234,3717
ElasticNet,A,rolling_9m_3m,1,11,0.21815305209451682,3717
ElasticNet,A,rolling_9m_3m,1,12,0.23327595161623482,3717
ElasticNet,A,rolling_9m_3m,1,13,0.0740022459182866,3717
ElasticNet,A,rolling_9m_3m,1,14,0.2656098773793932,3717
ElasticNet,A,rolling_9m_3m,1,15,0.315243402408643,3717
ElasticNet,A,rolling_9m_3m,1,16,0.26418944906775205,3717
ElasticNet,A,rolling_9m_3m,1,17,0.30356331339343706,3717
ElasticNet,A,rolling_9m_3m,1,18,0.2290949046161903,3726
ElasticNet,A,rolling_9m_3m,1,19,0.27633197977022667,3780
ElasticNet,A,rolling_9m_3m,1,20,0.24699636145940138,3780
ElasticNet,A,rolling_9m_3m,1,21,0.29874145107136113,3730
ElasticNet,A,rolling_9m_3m,1,22,0.3287423305149194,3740
ElasticNet,A,rolling_9m_3m,1,23,0.26456797000771326,3780
ElasticNet,A,rolling_9m_3m,1,24,0.28673897554137956,3780
ElasticNet,A,rolling_9m_3m,1,25,0.2855702540519732,3780
ElasticNet,A,rolling_9m_3m,1,26,0.2572714229275495,3780
ElasticNet,A,rolling_9m_3m,1,27,0.22009886878184498,3780
ElasticNet,A,rolling_9m_3m,1,28,0.2154958464690166,3780
ElasticNet,A,rolling_9m_3m,1,29,0.22336408890307555,3780
ElasticNet,A,rolling_9m_3m,1,30,0.23534309458008956,3780
ElasticNet,A,rolling_9m_3m,1,31,0.24100514737387682,3780
XGBoost,A,expanding,1,0,0.2324068954805593,3717
XGBoost,A,expanding,1,1,0.2546277765626874,3717
XGBoost,A,expanding,1,2,0.2681967336588846,3717
XGBoost,A,expanding,1,3,0.3383292615220819,3717
XGBoost,A,expanding,1,4,0.2319639673354923,3717
XGBoost,A,expanding,1,5,0.2828767626419129,3717
XGBoost,A,expanding,1,6,0.2299469212553326,3717
XGBoost,A,expanding,1,7,0.25282344171127275,3717
XGBoost,A,expanding,1,8,0.10086286527652956,3717
XGBoost,A,expanding,1,9,0.26643521645702045,3717
XGBoost,A,expanding,1,10,0.31258099186892246,3717
XGBoost,A,expanding,1,11,0.25208457176496624,3717
XGBoost,A,expanding,1,12,0.27286081925498246,3717
XGBoost,A,expanding,1,13,0.2452707598187563,3726
XGBoost,A,expanding,1,14,0.22160143763911397,3780
XGBoost,A,expanding,1,15,0.26705969965593807,3780
XGBoost,A,expanding,1,16,0.33471466374271225,3730
XGBoost,A,expanding,1,17,0.36229973502406565,3740
XGBoost,A,expanding,1,18,0.29707197320247686,3780
XGBoost,A,expanding,1,19,0.32601055235378734,3780
XGBoost,A,expanding,1,20,0.3071480269617704,3780
XGBoost,A,expanding,1,21,0.2834049968887694,3780
XGBoost,A,expanding,1,22,0.2586908518699939,3780
XGBoost,A,expanding,1,23,0.26220801820886247,3780
XGBoost,A,expanding,1,24,0.25468523651869135,3780
XGBoost,A,expanding,1,25,0.2667742311780179,3780
XGBoost,A,expanding,1,26,0.2713718279153863,3780
XGBoost,A,rolling_9m_3m,1,0,0.2258134891398762,3717
XGBoost,A,rolling_9m_3m,1,1,0.28826610982667356,3717
XGBoost,A,rolling_9m_3m,1,2,0.2754949434698718,3717
XGBoost,A,rolling_9m_3m,1,3,0.2870857212386755,3717
XGBoost,A,rolling_9m_3m,1,4,0.26376117612233924,3717
XGBoost,A,rolling_9m_3m,1,5,0.21117248588548884,3717
XGBoost,A,rolling_9m_3m,1,6,0.23857861981735093,3717
XGBoost,A,rolling_9m_3m,1,7,0.2800650631374269,3717
XGBoost,A,rolling_9m_3m,1,8,0.3286010493550418,3717
XGBoost,A,rolling_9m_3m,1,9,0.22486828112198345,3717
XGBoost,A,rolling_9m_3m,1,10,0.21705825654831606,3717
XGBoost,A,rolling_9m_3m,1,11,0.2089844747916124,3717
XGBoost,A,rolling_9m_3m,1,12,0.2528718520343465,3717
XGBoost,A,rolling_9m_3m,1,13,0.10937762144169422,3717
XGBoost,A,rolling_9m_3m,1,14,0.23265144883050595,3717
XGBoost,A,rolling_9m_3m,1,15,0.3012247893723606,3717
XGBoost,A,rolling_9m_3m,1,16,0.235589423882179,3717
XGBoost,A,rolling_9m_3m,1,17,0.2769410084723748,3717
XGBoost,A,rolling_9m_3m,1,18,0.22647160381130998,3726
XGBoost,A,rolling_9m_3m,1,19,0.2537887754076804,3780
XGBoost,A,rolling_9m_3m,1,20,0.2647595765988007,3780
XGBoost,A,rolling_9m_3m,1,21,0.2944421464939728,3730
XGBoost,A,rolling_9m_3m,1,22,0.34947660355685295,3740
XGBoost,A,rolling_9m_3m,1,23,0.2695541916979948,3780
XGBoost,A,rolling_9m_3m,1,24,0.3074588353632192,3780
XGBoost,A,rolling_9m_3m,1,25,0.29499562276039143,3780
