pooled_r2,pooled_rmse,pooled_accuracy,pooled_ic,model,feature_set,scheme,horizon,n_windows
-0.0002091188253645,0.0157156719876531,0.5015776927109608,-0.0048778128913275,OLS,A,expanding,1,27
-0.0012663940752219,0.0151939871357617,0.5018047826740863,0.0020194388374873,OLS,A,rolling_9m_3m,1,32
6.816238423368315e-05,0.0157134934619281,0.5046737291907771,0.0075855184727986,ElasticNet,A,expanding,1,27
0.0004665373728576,0.0151808330237251,0.4998161795424541,0.0046981628190758,ElasticNet,A,rolling_9m_3m,1,32
-0.0006080690544649,0.0157188059052238,0.507344431585507,0.0126761058563441,XGBoost,A,expanding,1,27
-0.0012228429595073,0.0151936566930886,0.5018966929028592,0.0009206657175985,XGBoost,A,rolling_9m_3m,1,32
-4.819984811721412e-06,0.0157140668945417,0.4990059052197395,0.0015256244596613,OLS,B,expanding,1,27
-4.5570845141229555e-05,0.0151847214547366,0.499974933573971,0.0047265002032132,OLS,B,rolling_9m_3m,1,32
-0.0002229855678634,0.0157157809270825,0.5030416332828868,0.004261496253693,ElasticNet,B,expanding,1,27
0.0003029551729203,0.0151820752094849,0.503250279908424,0.0045078516975104,ElasticNet,B,rolling_9m_3m,1,32
-0.0010161024613648,0.0157220105286894,0.5063157165890184,-0.0021591202154773,XGBoost,B,expanding,1,27
-0.0020232204969439,0.0151997283844592,0.5074781504319781,0.0082241795125989,XGBoost,B,rolling_9m_3m,1,32
-4.819984788850817e-06,0.0157140668945415,0.4990059052197395,0.0015256256100163,OLS,C,expanding,1,27
-4.5570848225873206e-05,0.0151847214547601,0.499974933573971,0.0047265047588521,OLS,C,rolling_9m_3m,1,32
-0.0001173216167003,0.0157149507945065,0.503555990781131,0.0030115798197298,ElasticNet,C,expanding,1,27
0.0001924325490573,0.0151829144219352,0.5039855617386073,0.0065136882023352,ElasticNet,C,rolling_9m_3m,1,32
-0.001441301048046,0.0157253492696454,0.5082643401881362,0.0044663935886323,XGBoost,C,expanding,1,27
-0.0049707579393833,0.0152220676221727,0.5058738991661236,0.0043248602768428,XGBoost,C,rolling_9m_3m,1,32
-0.0012102827483191,0.0157235353575456,0.5041989376539363,0.0050797347709139,OLS,candidate_6,expanding,1,27
-0.0079618662017479,0.0152447036161423,0.5080964556073595,0.0125592090278092,OLS,candidate_6,rolling_9m_3m,1,32
-0.000337179630792,0.0157166780258704,0.503951650395165,0.0007254759776585,ElasticNet,candidate_6,expanding,1,27
-0.0007659234646171,0.0151901893979613,0.5056483013318628,0.0106259228273553,ElasticNet,candidate_6,rolling_9m_3m,1,32
-0.0009341230065604,0.0157213667287354,0.5038230610206039,-0.0027575975522694,XGBoost,candidate_6,expanding,1,27
-0.0027083976481301,0.015204924235536,0.503241924433081,0.0024565541372503,XGBoost,candidate_6,rolling_9m_3m,1,32
-0.0002091692711061,0.0157156723839646,0.5014194288653472,-0.0049289201485808,OLS,D,expanding,1,27
-0.0012101449139454,0.0151935603457279,0.5030497485001921,0.0042607898311096,OLS,D,rolling_9m_3m,1,32
-0.0004219289264191,0.015717343775984,0.5013402969425403,0.0038609471778311,ElasticNet,D,expanding,1,27
8.703006416466152e-05,0.0151837147133037,0.5020136695576611,0.004219803961922,ElasticNet,D,rolling_9m_3m,1,32
-0.0004020425786335,0.0157171875608367,0.5071367102881391,0.0025317470999631,XGBoost,D,expanding,1,27
-0.0054960254042255,0.0152260451569955,0.5076452599388379,0.0048619863690094,XGBoost,D,rolling_9m_3m,1,32
-0.0002091355545981,0.0157156721190812,0.5015875842013117,-0.0048775819896322,OLS,repr_svi,expanding,1,27
-0.0012663856961103,0.0151939870721862,0.5018298491001153,0.0020194974872337,OLS,repr_svi,rolling_9m_3m,1,32
-0.0004062419483461,0.0157172205486803,0.5024580353521865,0.0040003137609219,ElasticNet,repr_svi,expanding,1,27
0.0001300720937641,0.0151833879123965,0.5026319747330426,0.004952492886794,ElasticNet,repr_svi,rolling_9m_3m,1,32
-0.0005685905639181,0.0157184958133554,0.5074235635083137,0.0007917399778377,XGBoost,repr_svi,expanding,1,27
-0.0023952196309093,0.0152025495571585,0.5052472385153991,0.0017096778530061,XGBoost,repr_svi,rolling_9m_3m,1,32
-0.0002091504829366,0.0157156722363611,0.5014491033363997,-0.0049287569635987,OLS,repr_grid,expanding,1,27
-0.0010660956818715,0.015192467318735,0.5030581039755352,0.0045591871965966,OLS,repr_grid,rolling_9m_3m,1,32
-0.0001470634754889,0.0157151844612787,0.5003907138688586,0.0020368444240963,ElasticNet,repr_grid,expanding,1,27
0.0004011119051546,0.0151813298539391,0.5014705636603667,0.0065792299956557,ElasticNet,repr_grid,rolling_9m_3m,1,32
-0.0002380401873463,0.0157158991978156,0.5074730209600681,0.0044992778065239,XGBoost,repr_grid,expanding,1,27
-0.0034055937591994,0.0152102094071724,0.5065757590949349,0.006048766922676,XGBoost,repr_grid,rolling_9m_3m,1,32
-0.0002091742751408,0.0157156724232773,0.501429320355698,-0.0049335538820509,OLS,repr_grid_raw,expanding,1,27
-0.0009715788311062,0.0151917500943339,0.5015708293644825,0.0031364445031764,OLS,repr_grid_raw,rolling_9m_3m,1,32
5.417763711423884e-05,0.01571360334365,0.5045847057776195,0.005713731675005,ElasticNet,repr_grid_raw,expanding,1,27
0.0003203779422936,0.0151819429119309,0.5017713607727143,0.007130494426932,ElasticNet,repr_grid_raw,rolling_9m_3m,1,32
-0.0012205430970906,0.0157236159243088,0.5076609592767343,0.0049881526508449,XGBoost,repr_grid_raw,expanding,1,27
-0.0102729383753343,0.0152621702682606,0.5058488327400946,0.0093441386115439,XGBoost,repr_grid_raw,rolling_9m_3m,1,32
-0.0002010726986771,0.0157156087756009,0.5013501884328911,-0.0055390117929018,OLS,repr_bkm,expanding,1,27
-0.0015795241766154,0.0151963627886576,0.5019050483782023,0.0020131918182723,OLS,repr_bkm,rolling_9m_3m,1,32
-3.455466022117548e-05,0.0157143005180182,0.504752861113584,0.0068198924356065,ElasticNet,repr_bkm,expanding,1,27
0.0004095563854557,0.015181265728862,0.4996323590849083,0.0028040659080447,ElasticNet,repr_bkm,rolling_9m_3m,1,32
-0.001094360163597,0.0157226250764321,0.5057123356776165,0.0024020149937382,XGBoost,repr_bkm,expanding,1,27
-0.002406783968101,0.0152026372505646,0.4989973429588409,-0.0022572613071589,XGBoost,repr_bkm,rolling_9m_3m,1,32
-0.0005591757897531,0.0272388786478416,0.5059695144267387,-0.0037437649418093,OLS,A,expanding,3,27
-0.0034259804596645,0.0264188008365724,0.5049715078290804,0.0037615913843525,OLS,A,rolling_9m_3m,3,32
-0.000726412008293,0.0272411549433577,0.5081159678328734,0.0071986194170172,ElasticNet,A,expanding,3,27
-0.0044802775450676,0.0264326762757014,0.500025066426029,-0.0026607261500279,ElasticNet,A,rolling_9m_3m,3,32
-0.0005799962226187,0.0272391620505167,0.5072652996627002,0.0077397377370823,XGBoost,A,expanding,3,27
-0.0039916284746162,0.0264262461475,0.5019134038535452,0.002964278747307,XGBoost,A,rolling_9m_3m,3,32
-1.3495965542453804e-05,0.027231449934979,0.500430279830262,0.0053782940752829,OLS,B,expanding,3,27
-0.000121408899933,0.0263752625903346,0.5004679066192076,0.0061820956874198,OLS,B,rolling_9m_3m,3,32
-0.0004815188486058,0.0272378215744108,0.5111823298416373,0.0151305709606949,ElasticNet,B,expanding,3,27
-0.002456896010972,0.0264060404367081,0.5050717735331963,0.0106878035170801,ElasticNet,B,rolling_9m_3m,3,32
0.0001293134806883,0.0272295054376536,0.5117362533012849,0.0202044211968159,XGBoost,B,expanding,3,27
-0.0029786421185868,0.0264129112840654,0.5076452599388379,0.0087970212839987,XGBoost,B,rolling_9m_3m,3,32
-1.3495966295185012e-05,0.0272314499349892,0.500430279830262,0.0053782901349491,OLS,C,expanding,3,27
-0.0001214089438785,0.026375262590914,0.5004679066192076,0.0061820990513036,OLS,C,rolling_9m_3m,3,32
-0.0006854050879345,0.0272405968051384,0.5065926783188422,0.0066184898227014,ElasticNet,C,expanding,3,27
-0.0032051601411278,0.0264158937317529,0.5028157951905884,0.007775787092876,ElasticNet,C,rolling_9m_3m,3,32
-0.0002429501018035,0.0272345738980388,0.5093919700881332,0.0121354767250118,XGBoost,C,expanding,3,27
-0.0021667853729063,0.0264022192112771,0.5063167393593021,0.0118443837661008,XGBoost,C,rolling_9m_3m,3,32
-0.0027393255186523,0.0272685383229824,0.5083335806205921,0.0145619653241523,OLS,candidate_6,expanding,3,27
-0.0228718749193979,0.0266735640476201,0.512925920355609,0.0176924291006477,OLS,candidate_6,rolling_9m_3m,3,32
-0.0015114813221583,0.0272518381839735,0.5088281551381346,0.0105387147409401,ElasticNet,candidate_6,expanding,3,27
-0.0046750579593499,0.0264352389532288,0.5051219063852542,0.0075001111807221,ElasticNet,candidate_6,rolling_9m_3m,3,32
-0.0002502854066013,0.0272346737605443,0.510005242489886,-0.0005048783337121,XGBoost,candidate_6,expanding,3,27
-0.0019911540932315,0.0263999055950234,0.5085225848498521,0.0124916935967741,XGBoost,candidate_6,rolling_9m_3m,3,32
-0.0005590283944878,0.0272388766415226,0.5058508165425285,-0.0037815703260013,OLS,D,expanding,3,27
-0.0029508185625268,0.0264125449222189,0.5055146137263749,0.0088041517822392,OLS,D,rolling_9m_3m,3,32
-0.000171420836728,0.0272336000826852,0.5061772357241066,0.0127852996961404,ElasticNet,D,expanding,3,27
-0.0040754579358748,0.0264273493697154,0.5003509299644057,-0.0023773290833506,ElasticNet,D,rolling_9m_3m,3,32
-0.0007503285257377,0.0272414804617296,0.5110735234477779,0.0092404787730322,XGBoost,D,expanding,3,27
-0.005785452094098,0.0264498433907284,0.5042529369495831,0.0086203795359275,XGBoost,D,rolling_9m_3m,3,32
-0.0005592066153927,0.0272388790674349,0.5059596229363879,-0.0037438710060614,OLS,repr_svi,expanding,3,27
-0.003426038336159,0.0264188015984759,0.5049631523537375,0.0037603282154986,OLS,repr_svi,rolling_9m_3m,3,32
-0.0014406883437731,0.0272508750033603,0.5076016103346291,0.0128247005140911,ElasticNet,repr_svi,expanding,3,27
-0.0045266746309944,0.0264332867331779,0.4998328904931401,-0.0032107161700628,ElasticNet,repr_svi,rolling_9m_3m,3,32
-0.000228234754185,0.0272343735628622,0.5093622956170806,0.0107847934496996,XGBoost,repr_svi,expanding,3,27
-0.0040879429742528,0.0264275136728277,0.501102922745275,-0.000901067136457,XGBoost,repr_svi,rolling_9m_3m,3,32
-0.0005589935429644,0.0272388761671296,0.5058607080328793,-0.0037815660764209,OLS,repr_grid,expanding,3,27
-0.0029524971864014,0.0264125670253516,0.505464480874317,0.0087841151609657,OLS,repr_grid,rolling_9m_3m,3,32
0.0004860826462503,0.0272246470520628,0.5070872528363849,0.0177435297095222,ElasticNet,repr_grid,expanding,3,27
-0.0051200343645765,0.0264410924654238,0.501036078942531,0.0023984251783053,ElasticNet,repr_grid,rolling_9m_3m,3,32
-0.0001392469502556,0.0272331620488713,0.5113603766679525,0.0092710331218441,XGBoost,repr_grid,expanding,3,27
-0.0052747621447726,0.0264431275527602,0.50857271770191,0.0119104739026944,XGBoost,repr_grid,rolling_9m_3m,3,32
-0.0005589303979478,0.0272388753076104,0.5058508165425285,-0.0037900833825986,OLS,repr_grid_raw,expanding,3,27
-0.0026671712571031,0.0264088097555336,0.5042863588509551,0.0054205422421539,OLS,repr_grid_raw,rolling_9m_3m,3,32
