delta,seed,model,oracle_ic,recovered_ic,nw_se,nw_t,n_windows,survives_t3
0.0,0,OLS,0.0004586157557905072,-0.0014303820950242103,0.010160789663350846,-0.14077469787446578,27,False
0.0,0,ElasticNet,0.0004586157557905072,0.010165516746598822,0.007772146052412819,1.3079420636264285,27,False
0.0,0,XGBoost,0.0004586157557905072,0.014250123487021355,0.007138470806020919,1.9962431554671536,27,False
0.0,1,OLS,-0.0007496915705880208,-0.0012993675961973316,0.010210390451978163,-0.12725934451856263,27,False
0.0,1,ElasticNet,-0.0007496915705880208,0.010165516746598822,0.007772146052412819,1.3079420636264285,27,False
0.0,1,XGBoost,-0.0007496915705880208,0.0114098167403246,0.006667226369818192,1.7113288356273006,27,False
0.0,2,OLS,0.0003328453930077045,-0.0013976208120406776,0.010173314810670778,-0.1373810638961762,27,False
0.0,2,ElasticNet,0.0003328453930077045,0.01016255812927844,0.007772550927971545,1.30749328289453,27,False
0.0,2,XGBoost,0.0003328453930077045,0.009714104497838879,0.006467530022485065,1.501980580541064,27,False
0.003,0,OLS,0.004142536289501885,-0.0013225029250270859,0.010197823576954156,-0.12968482098629183,27,False
0.003,0,ElasticNet,0.004142536289501885,0.010451901655189324,0.0076295671279989095,1.3699206625803237,27,False
0.003,0,XGBoost,0.004142536289501885,0.014032532403994316,0.007200172562174013,1.9489161242765196,27,False
0.003,1,OLS,0.0029202069669901614,-0.001286907883842398,0.010219749304028612,-0.12592362547827868,27,False
0.003,1,ElasticNet,0.0029202069669901614,0.009751952654295647,0.007861221660921883,1.2405136345121246,27,False
0.003,1,XGBoost,0.0029202069669901614,0.01175760500254288,0.006718188391561114,1.750115405711442,27,False
0.003,2,OLS,0.0040087176067215265,-0.001357589614137989,0.01019268236114061,-0.13319257542192928,27,False
0.003,2,ElasticNet,0.0040087176067215265,0.011764699231288447,0.007356959422541394,1.599125203170475,27,False
0.003,2,XGBoost,0.0040087176067215265,0.009628787528666458,0.006463453511469501,1.4897279777103711,27,False
0.006,0,OLS,0.007833307301502756,-0.0011802338417021402,0.01024983924375709,-0.11514657094948977,27,False
0.006,0,ElasticNet,0.007833307301502756,0.011503295823167692,0.007433255579665637,1.5475447736031072,27,False
0.006,0,XGBoost,0.007833307301502756,0.01501395936001019,0.007197624613553252,2.085960322484538,27,False
0.006,1,OLS,0.006613376639478853,-0.0012423119852189005,0.010240341298574391,-0.1213154863687843,27,False
0.006,1,ElasticNet,0.006613376639478853,0.009982022556291895,0.007765778784376988,1.2853859005581634,27,False
0.006,1,XGBoost,0.006613376639478853,0.011646072568409594,0.006706012759618843,1.7366612599573303,27,False
0.006,2,OLS,0.0076557787217761625,-0.001294759114257753,0.010220207543514758,-0.1266861860431928,27,False
0.006,2,ElasticNet,0.0076557787217761625,0.010721667777162842,0.007714781495524502,1.389756506180077,27,False
0.006,2,XGBoost,0.0076557787217761625,0.01075206428293525,0.006290716096220546,1.7091956016573495,27,False
0.01,0,OLS,0.012750184622217713,-0.0009562723346254705,0.010326379586824943,-0.0926048017686222,27,False
0.01,0,ElasticNet,0.012750184622217713,0.010713298998204803,0.007558128884836328,1.4174538647652077,27,False
0.01,0,XGBoost,0.012750184622217713,0.014316907952785904,0.006915339159632273,2.070311755113861,27,False
0.01,1,OLS,0.011502230859558414,-0.001133321998740926,0.010286090046399602,-0.110180058081216,27,False
0.01,1,ElasticNet,0.011502230859558414,0.010997870109667001,0.007603538658742728,1.446414702846469,27,False
0.01,1,XGBoost,0.011502230859558414,0.012294750107219853,0.006406225551418719,1.919187828860797,27,False
0.01,2,OLS,0.012547650625282849,-0.0011881584489202136,0.010267923491024894,-0.1157155533890346,27,False
0.01,2,ElasticNet,0.012547650625282849,0.013941066113201221,0.007402410821754146,1.8833142943419632,27,False
0.01,2,XGBoost,0.012547650625282849,0.010752891789227314,0.0060116146247312435,1.7886861451482405,27,False
0.019,0,OLS,0.023773379706258452,-0.0002865928068327374,0.010584753928968904,-0.02707600089298017,27,False
0.019,0,ElasticNet,0.023773379706258452,0.025993135000380977,0.00948225903644758,2.7412386542562763,27,False
0.019,0,XGBoost,0.023773379706258452,0.01844532486388814,0.006988496311762017,2.639383930537913,27,False
