date,portfolio_return,gross_return,spread_cost,turnover,n_long,cumulative_return
2023-04-12,0.022279235089197755,0.022404235089197755,0.000125,1.0,4,1.0222792350891978
2023-04-13,-0.022441172253340483,-0.022316172253340483,0.000125,1.0,2,0.999338090683548
2023-04-14,-0.000125,0.0,0.000125,1.0,0,0.9992131734222125
2023-04-17,0.0,0.0,0.0,0.0,0,0.9992131734222125
2023-04-18,0.0,0.0,0.0,0.0,0,0.9992131734222125
2023-04-19,0.0,0.0,0.0,0.0,0,0.9992131734222125
2023-04-20,0.0,0.0,0.0,0.0,0,0.9992131734222125
2023-04-21,0.0,0.0,0.0,0.0,0,0.9992131734222125
2023-04-24,0.0,0.0,0.0,0.0,0,0.9992131734222125
2023-04-25,0.0,0.0,0.0,0.0,0,0.9992131734222125
2023-04-26,0.0,0.0,0.0,0.0,0,0.9992131734222125
2023-04-27,0.0006236592512577772,0.0007486592512577772,0.000125,1.0,1,0.9998363419617959
2023-04-28,-0.000125,0.0,0.000125,1.0,0,0.9997113624190507
2023-05-01,0.0,0.0,0.0,0.0,0,0.9997113624190507
2023-05-02,0.0,0.0,0.0,0.0,0,0.9997113624190507
2023-05-03,0.0,0.0,0.0,0.0,0,0.9997113624190507
2023-05-04,0.0,0.0,0.0,0.0,0,0.9997113624190507
2023-05-05,-0.026131879284977913,-0.026006879284977913,0.000125,1.0,1,0.9735870257764953
2023-05-08,-0.000125,0.0,0.000125,1.0,0,0.9734653273982732
2023-05-09,-0.01890120257437229,-0.01877620257437229,0.000125,1.0,1,0.9550656620459907
2023-05-10,-0.019179409369826317,-0.019179409369826317,0.0,0.0,1,0.9367480667385465
2023-05-11,-0.017597754910588265,-0.017347754910588264,0.00025,2.0,1,0.9202634038471142
2023-05-12,-0.000125,0.0,0.000125,1.0,0,0.9201483709216334
2023-05-15,0.0,0.0,0.0,0.0,0,0.9201483709216334
2023-05-16,0.0,0.0,0.0,0.0,0,0.9201483709216334
2023-05-17,0.0,0.0,0.0,0.0,0,0.9201483709216334
2023-05-18,0.0,0.0,0.0,0.0,0,0.9201483709216334
2023-05-19,0.0,0.0,0.0,0.0,0,0.9201483709216334
2023-05-22,0.0,0.0,0.0,0.0,0,0.9201483709216334
2023-05-23,0.0,0.0,0.0,0.0,0,0.9201483709216334
2023-05-24,0.0,0.0,0.0,0.0,0,0.9201483709216334
2023-05-25,-0.01790599127113819,-0.01778099127113819,0.000125,1.0,1,0.9036722022237585
2023-05-26,-0.0016568244158157274,-0.0014068244158157274,0.00025,1.9999999999999998,7,0.9021749760552202
2023-05-30,0.017467203650756605,0.017574346507899463,0.00010714285714285715,0.8571428571428572,4,0.9179334500905932
2023-05-31,0.016337983505631034,0.016497074414721945,0.0001590909090909091,1.272727272727273,11,0.9329306316574403
2023-06-01,0.02254489273510196,0.022658529098738323,0.00011363636363636365,0.9090909090909093,11,0.9539634526774482
2023-06-02,0.008420624395759848,0.008534260759396213,0.00011363636363636365,0.9090909090909092,7,0.9619964205997272
2023-06-05,-0.00012499999999999998,0.0,0.00012499999999999998,0.9999999999999998,0,0.9618761710471522
2023-06-06,0.0,0.0,0.0,0.0,0,0.9618761710471522
2023-06-07,0.0,0.0,0.0,0.0,0,0.9618761710471522
2023-06-08,0.0,0.0,0.0,0.0,0,0.9618761710471522
2023-06-09,0.0,0.0,0.0,0.0,0,0.9618761710471522
2023-06-12,0.0,0.0,0.0,0.0,0,0.9618761710471522
2023-06-13,0.0,0.0,0.0,0.0,0,0.9618761710471522
2023-06-14,0.0,0.0,0.0,0.0,0,0.9618761710471522
2023-06-15,0.0,0.0,0.0,0.0,0,0.9618761710471522
