date,portfolio_return,gross_return,spread_cost,turnover,n_long,cumulative_return
2023-04-12,0.01849923233741429,0.018574232337414287,7.500000000000001e-05,0.9999999999999999,6,1.0184992323374142
2023-04-13,-0.022790796670379736,-0.022765796670379736,2.4999999999999998e-05,0.3333333333333333,6,0.9952868234242743
2023-04-14,-0.04953028677975137,-0.04945528677975137,7.500000000000001e-05,0.9999999999999999,3,0.9459899816319622
2023-04-17,-7.5e-05,0.0,7.5e-05,1.0,0,0.9459190323833399
2023-04-18,0.0,0.0,0.0,0.0,0,0.9459190323833399
2023-04-19,0.0,0.0,0.0,0.0,0,0.9459190323833399
2023-04-20,0.0,0.0,0.0,0.0,0,0.9459190323833399
2023-04-21,0.0,0.0,0.0,0.0,0,0.9459190323833399
2023-04-24,0.0,0.0,0.0,0.0,0,0.9459190323833399
2023-04-25,0.0,0.0,0.0,0.0,0,0.9459190323833399
2023-04-26,0.0,0.0,0.0,0.0,0,0.9459190323833399
2023-04-27,0.006228687114268541,0.006303687114268541,7.5e-05,1.0,1,0.9518108660714872
2023-04-28,0.005110266829282045,0.005260266829282045,0.00015,2.0,1,0.9566748735681225
2023-05-01,0.059651125222444534,0.059651125222444534,0.0,0.0,1,1.013741606248501
2023-05-02,0.016297082754969598,0.016372082754969597,7.5e-05,1.0,2,1.0302626370976886
2023-05-03,0.04434542994558811,0.04443542994558811,8.999999999999999e-05,1.2,5,1.075950076696661
2023-05-04,0.027329901828731476,0.02742220952103917,9.230769230769232e-05,1.2307692307692306,13,1.1053556866653969
2023-05-05,-0.003365960525188019,-0.0032945319537594476,7.142857142857143e-05,0.9523809523809526,21,1.1016351030577891
2023-05-08,-3.513484675153824e-05,-1.5569629360233904e-05,1.956521739130434e-05,0.26086956521739124,23,1.101596397277267
2023-05-09,-0.006541147690484406,-0.006475930299180059,6.521739130434783e-05,0.869565217391304,13,1.094390692547371
2023-05-10,0.010360149649258417,0.010417841956950724,5.7692307692307684e-05,0.7692307692307692,8,1.1057287438969174
2023-05-11,0.03413353172428906,0.03420853172428906,7.5e-05,1.0,4,1.143471171055181
2023-05-12,0.06724831559211016,0.06736081559211016,0.0001125,1.5,2,1.2203676812367796
2023-05-15,0.10875399165153503,0.10882899165153503,7.5e-05,1.0,1,1.3530875378538074
2023-05-16,0.06543105840682983,0.06543105840682983,0.0,0.0,1,1.4416214875726734
2023-05-17,-7.5e-05,0.0,7.5e-05,1.0,0,1.4415133659611055
2023-05-18,0.0,0.0,0.0,0.0,0,1.4415133659611055
2023-05-19,0.0,0.0,0.0,0.0,0,1.4415133659611055
2023-05-22,0.0,0.0,0.0,0.0,0,1.4415133659611055
2023-05-23,0.0,0.0,0.0,0.0,0,1.4415133659611055
