model,feature_set,scheme,horizon,n_windows,mean_ic,nw_se,nw_tstat,survives_5pct,survives_hlz_t3
XGBoost,A,expanding,5,27,0.5032054779982574,0.019774790252427045,25.446817466824804,True,True
XGBoost,A,expanding,3,27,0.43515854205357557,0.0173480704124796,25.08397370468001,True,True
XGBoost,repr_bkm,expanding,1,27,0.2659413412650877,0.010737034957572632,24.768601603324782,True,True
XGBoost,A,expanding,1,27,0.2605424256480696,0.0105262185269164,24.751759141408794,True,True
XGBoost,repr_svi,expanding,1,27,0.2857310895796653,0.011564962834276927,24.706615462074677,True,True
XGBoost,candidate_6,rolling_9m_3m,5,32,0.4804931646087398,0.021805057097941706,22.035859041804393,True,True
XGBoost,candidate_6,rolling_9m_3m,3,32,0.4083750542465948,0.020435505401536377,19.983604330915764,True,True
OLS,repr_bkm,rolling_9m_3m,5,32,0.34792471725994933,0.019405535768047103,17.929147714274272,True,True
OLS,repr_bkm,rolling_9m_3m,3,32,0.296204226813088,0.017227130262765327,17.194055091886256,True,True
XGBoost,candidate_6,rolling_9m_3m,1,32,0.2373295984909775,0.014335138399164244,16.555794013458154,True,True
OLS,repr_bkm,rolling_9m_3m,1,32,0.17516191207338946,0.011056825869606173,15.841970755358243,True,True
OLS,repr_bkm,expanding,5,27,0.2930298867579799,0.01901220699549382,15.412723353339906,True,True
OLS,repr_bkm,expanding,3,27,0.2479037798454184,0.018071745848748832,13.71775488213728,True,True
OLS,repr_svi,rolling_9m_3m,5,32,0.25150132497295724,0.018512992334345446,13.585125539449939,True,True
OLS,A,rolling_9m_3m,5,32,0.25150073796085426,0.018513403281584268,13.5847922791715,True,True
OLS,D,expanding,5,27,0.26303447350492387,0.020241685467197144,12.994692261728249,True,True
OLS,repr_grid,expanding,5,27,0.26303409758243784,0.020241966800235343,12.994493083516947,True,True
OLS,repr_grid_raw,expanding,5,27,0.26303831457426546,0.02024287706533767,12.994117077590312,True,True
OLS,repr_svi,expanding,5,27,0.2630977812835376,0.02026902099278333,12.98029053190147,True,True
OLS,A,expanding,5,27,0.2630966092516197,0.020269477365295593,12.979940454808215,True,True
OLS,repr_svi,rolling_9m_3m,3,32,0.21214253559524793,0.01670368310071697,12.700344847068019,True,True
OLS,A,rolling_9m_3m,3,32,0.2121442794218587,0.01670393698194364,12.70025621212407,True,True
OLS,repr_grid_raw,expanding,3,27,0.2215565253876698,0.01814221547358585,12.21220890636234,True,True
OLS,D,expanding,3,27,0.2215508195906784,0.01814179015125741,12.212180702317443,True,True
OLS,repr_grid,expanding,3,27,0.22155166364745146,0.018141875489854832,12.212169782079366,True,True
OLS,repr_svi,expanding,3,27,0.22161987920931747,0.018162024983808235,12.202377180237088,True,True
OLS,A,expanding,3,27,0.22162053344696642,0.018162173476142726,12.202313436664413,True,True
OLS,repr_bkm,expanding,1,27,0.14357493231667887,0.012679879346756228,11.323051930569692,True,True
OLS,repr_grid,rolling_9m_3m,5,32,0.32478654528535444,0.028807894532062117,11.274220159473268,True,True
OLS,D,rolling_9m_3m,5,32,0.324791753633501,0.028817418283370498,11.270674924440636,True,True
OLS,repr_grid_raw,rolling_9m_3m,1,32,0.1446837791099257,0.013001297501748653,11.128410767499625,True,True
OLS,repr_grid,rolling_9m_3m,1,32,0.15804750442195215,0.014559071303690168,10.85560343274733,True,True
OLS,D,rolling_9m_3m,1,32,0.15805217403304594,0.014566464468410222,10.85041427697216,True,True
OLS,repr_grid,rolling_9m_3m,3,32,0.27549939049526256,0.02543354248388107,10.832128110736633,True,True
OLS,D,rolling_9m_3m,3,32,0.2755073700678791,0.025443940838156827,10.828014882612697,True,True
OLS,repr_grid_raw,expanding,1,27,0.1278276775053576,0.01202672476549264,10.628635808821679,True,True
OLS,repr_grid,expanding,1,27,0.1278261567406992,0.012026772189899887,10.628467449316776,True,True
OLS,D,expanding,1,27,0.1278243033869489,0.012027100833851504,10.628022925290052,True,True
OLS,A,expanding,1,27,0.1278905201980322,0.012036798055238355,10.624961855397656,True,True
OLS,repr_svi,expanding,1,27,0.12789032915148738,0.0120372391212441,10.62455666646833,True,True
OLS,repr_grid_raw,rolling_9m_3m,5,32,0.3121618354020277,0.02949252005659414,10.584440895624056,True,True
OLS,repr_svi,rolling_9m_3m,1,32,0.12369426722500874,0.011831374898452544,10.454766946924067,True,True
OLS,A,rolling_9m_3m,1,32,0.12369529363874004,0.011831961172611552,10.454335662042913,True,True
OLS,repr_grid_raw,rolling_9m_3m,3,32,0.264258997125806,0.02590792654384295,10.19992845350287,True,True
OLS,B,expanding,5,27,0.09365135152718945,0.02516341716202618,3.7217263030761027,True,True
OLS,C,expanding,5,27,0.09365135152718945,0.02516341716202618,3.7217263030761027,True,True
OLS,B,expanding,3,27,0.08444380244819172,0.022856786159320488,3.694474011332403,True,True
OLS,C,expanding,3,27,0.08444380244819172,0.022856786159320488,3.694474011332403,True,True
OLS,B,expanding,1,27,0.05495166637553086,0.015151698344035944,3.6267661306206707,True,True
OLS,C,expanding,1,27,0.05495166637553086,0.015151698344035944,3.6267661306206707,True,True
OLS,C,rolling_9m_3m,1,32,0.04090301595153692,0.013562553143291389,3.0158787596544294,True,True
OLS,B,rolling_9m_3m,1,32,0.04090301595153692,0.013562553143291389,3.0158787596544294,True,True
OLS,C,rolling_9m_3m,3,32,0.054408071431162386,0.023466986369358435,2.3184941847584093,True,False
OLS,B,rolling_9m_3m,3,32,0.054408071431162386,0.023466986369358435,2.3184941847584093,True,False
OLS,C,rolling_9m_3m,5,32,0.043760621821061205,0.022929135496615967,1.9085159938768597,False,False
OLS,B,rolling_9m_3m,5,32,0.04376062044953842,0.022929135951157892,1.9085158962271567,False,False
